film,budget,box_office_us_canada,box_office_other,box_office_worldwide,rotten_tomatoes_score,rotten_tomatoes_counts,metacritic_score,metacritic_counts,cinema_score,imdb_score,imdb_counts
Toy Story,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101
A Bug's Life,120000000,162798565,200460294,363258859,92,91,78,23,A,7.2,319596
Toy Story 2,90000000,245852179,265506097,511358276,100,172,88,34,A+,7.9,630573
"Monsters, Inc.",115000000,255873250,272900000,528773250,96,199,79,35,A+,8.1,1000657
Finding Nemo,94000000,339714978,531300000,871014978,99,270,90,38,A+,8.2,1132877
The Incredibles,92000000,261441092,370001000,631442092,97,250,90,41,A+,8,828986
Cars,120000000,244082982,217900167,461983149,75,204,73,39,A,7.2,484034
Ratatouille,150000000,206445654,417280431,623726085,96,253,96,37,A,8.1,851229
WALL-E,180000000,223808164,297503696,521311860,95,261,95,39,A,8.4,1226415
Up,175000000,293004164,442094918,735099082,98,297,88,37,A+,8.3,1151249
Toy Story 3,200000000,415004880,651964823,1066969703,98,313,92,39,A,8.3,908222
Cars 2,200000000,191452396,368400000,559852396,40,220,57,38,A-,6.2,225724
Brave,185000000,237283207,301700000,538983207,79,256,69,37,A,7.1,452012
Monsters University,200000000,268492764,475066843,743559607,80,203,65,41,A,7.2,398903
Inside Out,175000000,356461711,501149463,857611174,98,387,94,55,A,8.1,834268
The Good Dinosaur,175000000,123087120,209120551,332207671,75,220,66,37,A,6.7,130324
Finding Dory,200000000,486295561,542275328,1028570889,94,339,77,48,A,7.2,311793
Cars 3,175000000,152901115,231029541,383930656,69,234,59,41,A,6.7,128849
Coco,175000000,210460015,604181157,814641172,97,357,81,48,A+,8.4,618005
Incredibles 2,200000000,608581744,634223615,1242805359,93,390,80,51,A+,7.5,341353
Toy Story 4,200000000,434038008,639356585,1073394593,97,459,84,57,A,7.6,288783
Onward,175000000,61555145,80384897,141940042,88,350,64,56,A-,7.4,174917
Soul,150000000,946154,120957731,121903885,95,360,83,55,NA,8,392783
Luca,NA,1324302,49788012,51112314,91,303,71,52,NA,7.4,202404
Turning Red,175000000,1399001,20414357,21813358,95,289,83,52,NA,7,158649
Lightyear,200000000,118307188,108118232,226425420,74,319,60,57,A-,6.1,127045
Elemental,200000000,154426697,342017611,496444308,73,262,58,45,A,7,140174
Inside Out 2,200000000,652980194,1045050771,1698030965,90,313,73,59,A,7.6,168090
